nombre,descripcion
Accion,Peliculas con secuencias de accion y adrenalina
Comedia,Peliculas con humor y situaciones comicas
Drama,Peliculas con conflictos emocionales profundos
Terror,Peliculas de miedo y suspenso
Ciencia Ficcion,Peliculas de tecnologia y futuros alternativos
Romance,Peliculas centradas en relaciones amorosas
Thriller,Peliculas de suspenso e intriga
Animacion,Peliculas animadas para todas las edades
Documental,Peliculas basadas en hechos reales
Fantasia,Peliculas con elementos magicos y mundos imaginarios
Aventura,Peliculas de exploracion y travesias
Misterio,Peliculas con enigmas por resolver
Historia,Peliculas basadas en eventos historicos
Musical,Peliculas con canciones y coreografias
Deportes,Peliculas sobre competencias y atletas
